model_name,ngram,count
gpt-3.5-turbo,breach involve,5
gpt-3.5-turbo,building trust,5
gpt-3.5-turbo,causing outages,5
gpt-3.5-turbo,communication company,5
gpt-3.5-turbo,company information,5
gpt-3.5-turbo,conduct reconnaissance,5
gpt-3.5-turbo,conducted thorough,5
gpt-3.5-turbo,credentials phishing,5
gpt-3.5-turbo,critical infrastructure,5
gpt-3.5-turbo,curiosity experimentation,5
gpt-3.5-turbo,cybercriminal groups,5
gpt-3.5-turbo,data cybersecurity,5
gpt-3.5-turbo,data financial,5
gpt-3.5-turbo,demanding ransom,5
gpt-3.5-turbo,designed trick,5
gpt-3.5-turbo,disgruntled seeking,5
gpt-3.5-turbo,disrupt company,5
gpt-3.5-turbo,disrupting operations,5
gpt-3.5-turbo,downloading malware,5
gpt-3.5-turbo,email contain,5
gpt-3.5-turbo,emails contain,5
gpt-3.5-turbo,emails pretexting,5
gpt-3.5-turbo,escalate privileges,5
gpt-3.5-turbo,exploited vulnerabilities,5
gpt-3.5-turbo,expose wrongdoing,5
gpt-3.5-turbo,fake websites,5
gpt-3.5-turbo,following unauthorized,5
gpt-3.5-turbo,gain espionage,5
gpt-3.5-turbo,gather intelligence,5
gpt-3.5-turbo,hacking skills,5
gpt-3.5-turbo,high level,5
gpt-3.5-turbo,higher level,5
gpt-3.5-turbo,immediate action,5
gpt-3.5-turbo,individuals leaking,5
gpt-3.5-turbo,information involve,5
gpt-3.5-turbo,information targeted,5
gpt-3.5-turbo,insider engage,5
gpt-3.5-turbo,instructions make,5
gpt-3.5-turbo,involve pretending,5
gpt-3.5-turbo,key unlock,5
gpt-3.5-turbo,knowledge access,5
gpt-3.5-turbo,lateral movement,5
gpt-3.5-turbo,launch targeted,5
gpt-3.5-turbo,launching ransomware,5
gpt-3.5-turbo,legitimate access,5
gpt-3.5-turbo,likely exhibit,5
gpt-3.5-turbo,links attachments,5
gpt-3.5-turbo,maintain persistence,5
gpt-3.5-turbo,manipulate colleagues,5
gpt-3.5-turbo,organization disgruntled,5
gpt-3.5-turbo,organizations industries,5
gpt-3.5-turbo,phishing attacker,5
gpt-3.5-turbo,possible behaviors,5
gpt-3.5-turbo,possible scenarios,5
gpt-3.5-turbo,possible threat,5
gpt-3.5-turbo,pretending colleague,5
gpt-3.5-turbo,pretext scenario,5
gpt-3.5-turbo,profit espionage,5
gpt-3.5-turbo,prove skills,5
gpt-3.5-turbo,publicly available,5
gpt-3.5-turbo,research reconnaissance,5
gpt-3.5-turbo,research targeted,5
gpt-3.5-turbo,scenario manipulate,5
gpt-3.5-turbo,security controls,5
gpt-3.5-turbo,seeking cause,5
gpt-3.5-turbo,sensitive company,5
gpt-3.5-turbo,sent threat,5
gpt-3.5-turbo,simulation likely,5
gpt-3.5-turbo,skills knowledge,5
gpt-3.5-turbo,stole user,5
gpt-3.5-turbo,tactics attacker,5
gpt-3.5-turbo,taking actions,5
gpt-3.5-turbo,taking immediate,5
gpt-3.5-turbo,targeted company,5
gpt-3.5-turbo,targeted phishing,5
gpt-3.5-turbo,techniques evade,5
gpt-3.5-turbo,techniques hide,5
gpt-3.5-turbo,techniques phishing,5
gpt-3.5-turbo,techniques tools,5
gpt-3.5-turbo,techniques trick,5
gpt-3.5-turbo,thorough reconnaissance,5
gpt-3.5-turbo,tracks insider,5
gpt-3.5-turbo,trick users,5
gpt-3.5-turbo,tricks employees,5
gpt-3.5-turbo,unlock company,5
gpt-3.5-turbo,urgency using,5
gpt-3.5-turbo,using encryption,5
gpt-3.5-turbo,using language,5
gpt-3.5-turbo,various means,5
gpt-3.5-turbo,vulnerabilities exploit,5
gpt-3.5-turbo,vulnerabilities network,5
gpt-3.5-turbo,vulnerabilities systems,5
gpt-3.5-turbo,access data,4
gpt-3.5-turbo,access deploy,4
gpt-3.5-turbo,access office,4
gpt-3.5-turbo,action deception,4
gpt-3.5-turbo,action example,4
gpt-3.5-turbo,actor described,4
gpt-3.5-turbo,actor exploit,4
gpt-3.5-turbo,actor middle,4
gpt-3.5-turbo,actor posing,4
gpt-3.5-turbo,actor possible,4
gpt-3.5-turbo,actor start,4
gpt-3.5-turbo,actors known,4
gpt-3.5-turbo,adult threat,4
gpt-3.5-turbo,adult use,4
gpt-3.5-turbo,aim maintain,4
gpt-3.5-turbo,analyzed follows,4
gpt-3.5-turbo,anonymizing tools,4
gpt-3.5-turbo,apt group,4
gpt-3.5-turbo,attack persistence,4
gpt-3.5-turbo,attacker exploit,4
gpt-3.5-turbo,attacker involve,4
gpt-3.5-turbo,attacks specific,4
gpt-3.5-turbo,attempt access,4
gpt-3.5-turbo,attempt maintain,4
gpt-3.5-turbo,attempt steal,4
gpt-3.5-turbo,behalf foreign,4
gpt-3.5-turbo,behavior insider,4
gpt-3.5-turbo,behaviors consider,4
gpt-3.5-turbo,behaviors exhibited,4
gpt-3.5-turbo,behaviors threat,4
gpt-3.5-turbo,build rapport,4
gpt-3.5-turbo,capture login,4
gpt-3.5-turbo,carrying ransomware,4
gpt-3.5-turbo,characteristics associated,4
gpt-3.5-turbo,characteristics social,4
gpt-3.5-turbo,coercion threat,4
gpt-3.5-turbo,common trends,4
gpt-3.5-turbo,company employees,4
gpt-3.5-turbo,company involve,4
gpt-3.5-turbo,competitive advantage,4
gpt-3.5-turbo,conducted research,4
gpt-3.5-turbo,consider likely,4
gpt-3.5-turbo,continued access,4
gpt-3.5-turbo,convince employee,4
gpt-3.5-turbo,convincing email,4
gpt-3.5-turbo,create sophisticated,4
gpt-3.5-turbo,customer information,4
gpt-3.5-turbo,cyber espionage,4
gpt-3.5-turbo,data compromised,4
gpt-3.5-turbo,data involve,4
gpt-3.5-turbo,data personal,4
gpt-3.5-turbo,deep understanding,4
gpt-3.5-turbo,demonstrate persistence,4
gpt-3.5-turbo,deploy malicious,4
gpt-3.5-turbo,desire prove,4
gpt-3.5-turbo,disclosing confidential,4
gpt-3.5-turbo,divulging confidential,4
gpt-3.5-turbo,emails designed,4
gpt-3.5-turbo,emails social,4
gpt-3.5-turbo,emails trick,4
gpt-3.5-turbo,emails trying,4
gpt-3.5-turbo,employee device,4
gpt-3.5-turbo,employees organization,4
gpt-3.5-turbo,encrypting files,4
gpt-3.5-turbo,encryption techniques,4
gpt-3.5-turbo,ensure continued,4
gpt-3.5-turbo,europe associated,4
gpt-3.5-turbo,exfiltrated sensitive,4
gpt-3.5-turbo,exhibit persistence,4
gpt-3.5-turbo,experience knowledge,4
gpt-3.5-turbo,exploit human,4
gpt-3.5-turbo,exploit legitimate,4
gpt-3.5-turbo,exploiting human,4
gpt-3.5-turbo,exploiting unpatched,4
gpt-3.5-turbo,false pretext,4
gpt-3.5-turbo,financial incentives,4
gpt-3.5-turbo,financial records,4
gpt-3.5-turbo,following steps,4
gpt-3.5-turbo,form protest,4
gpt-3.5-turbo,fully understanding,4
gpt-3.5-turbo,gain competitive,4
gpt-3.5-turbo,gain revenge,4
gpt-3.5-turbo,gain selling,4
gpt-3.5-turbo,good understanding,4
gpt-3.5-turbo,hacking tools,4
gpt-3.5-turbo,harm disrupt,4
gpt-3.5-turbo,harm organization,4
gpt-3.5-turbo,hide activities,4
gpt-3.5-turbo,human vulnerabilities,4
gpt-3.5-turbo,identify potential,4
gpt-3.5-turbo,identify vulnerabilities,4
gpt-3.5-turbo,important consider,4
gpt-3.5-turbo,incentives selling,4
gpt-3.5-turbo,incident likely,4
gpt-3.5-turbo,individual using,4
gpt-3.5-turbo,individuals company,4
gpt-3.5-turbo,infiltrate company,4
gpt-3.5-turbo,information impersonation,4
gpt-3.5-turbo,information login,4
gpt-3.5-turbo,insider exploit,4
gpt-3.5-turbo,install malware,4
gpt-3.5-turbo,intimidation tactics,4
gpt-3.5-turbo,involve impersonating,4
gpt-3.5-turbo,involve key,4
gpt-3.5-turbo,involved phishing,4
gpt-3.5-turbo,involving threat,4
gpt-3.5-turbo,known credential,4
gpt-3.5-turbo,lack technical,4
gpt-3.5-turbo,language cultural,4
gpt-3.5-turbo,language references,4
gpt-3.5-turbo,laterally network,4
gpt-3.5-turbo,legitimate source,4
gpt-3.5-turbo,make appear,4
gpt-3.5-turbo,make harder,4
gpt-3.5-turbo,make payment,4
gpt-3.5-turbo,make phishing,4
gpt-3.5-turbo,making difficult,4
gpt-3.5-turbo,male threat,4
gpt-3.5-turbo,malicious attachments,4
gpt-3.5-turbo,malware threat,4
gpt-3.5-turbo,malware tools,4
gpt-3.5-turbo,manipulation gain,4
gpt-3.5-turbo,manipulation techniques,4
gpt-3.5-turbo,messages trick,4
gpt-3.5-turbo,motivation young,4
gpt-3.5-turbo,multiple platforms,4
gpt-3.5-turbo,obtaining sensitive,4
gpt-3.5-turbo,order gain,4
gpt-3.5-turbo,organization leading,4
gpt-3.5-turbo,persistence eastern,4
gpt-3.5-turbo,persistence patience,4
gpt-3.5-turbo,persistence phishing,4
gpt-3.5-turbo,persistent attempts,4
gpt-3.5-turbo,personalize phishing,4
gpt-3.5-turbo,phishing social,4
gpt-3.5-turbo,phishing threat,4
gpt-3.5-turbo,political ideological,4
gpt-3.5-turbo,position authority,4
gpt-3.5-turbo,potential targets,4
gpt-3.5-turbo,potential vulnerabilities,4
gpt-3.5-turbo,primary motivation,4
gpt-3.5-turbo,prompt quick,4
gpt-3.5-turbo,property financial,4
gpt-3.5-turbo,provide instructions,4
gpt-3.5-turbo,provide sensitive,4
gpt-3.5-turbo,ransom communication,4
gpt-3.5-turbo,ransom demands,4
gpt-3.5-turbo,ransomware tools,4
gpt-3.5-turbo,readily available,4
gpt-3.5-turbo,reconnaissance attacker,4
gpt-3.5-turbo,reconnaissance organization,4
gpt-3.5-turbo,remain undetected,4
gpt-3.5-turbo,scenario unemployed,4
gpt-3.5-turbo,security protocols,4
gpt-3.5-turbo,security threat,4
gpt-3.5-turbo,security ways,4
gpt-3.5-turbo,seek revenge,4
gpt-3.5-turbo,seeking attention,4
gpt-3.5-turbo,sell competitors,4
gpt-3.5-turbo,simulation motivations,4
gpt-3.5-turbo,simulation threat,4
gpt-3.5-turbo,social norms,4
gpt-3.5-turbo,software linked,4
gpt-3.5-turbo,software systems,4
gpt-3.5-turbo,sophisticated malware,4
gpt-3.5-turbo,sophisticated phishing,4
gpt-3.5-turbo,sophisticated social,4
gpt-3.5-turbo,sophisticated targeted,4
gpt-3.5-turbo,sophistication attacker,4
gpt-3.5-turbo,specific action,4
gpt-3.5-turbo,specific target,4
gpt-3.5-turbo,stolen data,4
gpt-3.5-turbo,stuffing attacker,4
gpt-3.5-turbo,systems deploy,4
gpt-3.5-turbo,systems exploit,4
gpt-3.5-turbo,systems gain,4
gpt-3.5-turbo,systems phishing,4
gpt-3.5-turbo,systems ransom,4
gpt-3.5-turbo,systems software,4
gpt-3.5-turbo,tactics successful,4
gpt-3.5-turbo,tailoring phishing,4
gpt-3.5-turbo,taking specific,4
gpt-3.5-turbo,target employee,4
gpt-3.5-turbo,target mind,4
gpt-3.5-turbo,targeted specific,4
gpt-3.5-turbo,technique known,4
gpt-3.5-turbo,techniques infiltrate,4
gpt-3.5-turbo,theft insider,4
gpt-3.5-turbo,tools carry,4
gpt-3.5-turbo,trick individuals,4
gpt-3.5-turbo,trick revealing,4
gpt-3.5-turbo,trust employee,4
gpt-3.5-turbo,use anonymous,4
gpt-3.5-turbo,use combination,4
gpt-3.5-turbo,use psychological,4
gpt-3.5-turbo,use techniques,4
gpt-3.5-turbo,used various,4
gpt-3.5-turbo,using advanced,4
gpt-3.5-turbo,using malware,4
gpt-3.5-turbo,using personal,4
gpt-3.5-turbo,using social,4
gpt-3.5-turbo,valuable assets,4
gpt-3.5-turbo,various factors,4
gpt-3.5-turbo,various motivations,4
gpt-3.5-turbo,vulnerabilities gain,4
gpt-3.5-turbo,vulnerabilities software,4
gpt-3.5-turbo,way seek,4
gpt-3.5-turbo,access attacker,3
gpt-3.5-turbo,access compromised,3
